# TypeScript no-regression baseline
# Format: <count>	<normalized diagnostic key>
# Key: <file> :: <TS code> :: <message> (line/column stripped)
14	__raw__ :: 'string' index signatures are incompatible.
1	__raw__ :: Argument of type '{ stream: true; speed: any; output_config: BetaOutputConfig; context_management: ContextManagementConfig; temperature: number; metadata: { user_id: string; }; max_tokens: number; ... 6 more ...; tool_choice: BetaToolChoiceAuto | BetaToolChoiceTool; }' is not assignable to parameter of type 'MessageCreateParamsBase'.
1	__raw__ :: Argument of type '{ stream: true; speed: any; output_config: BetaOutputConfig; context_management: ContextManagementConfig; temperature: number; metadata: { user_id: string; }; max_tokens: number; ... 6 more ...; tool_choice: BetaToolChoiceAuto | BetaToolChoiceTool; }' is not assignable to parameter of type 'MessageCreateParamsStreaming'.
1	__raw__ :: Argument of type 'string' is not assignable to parameter of type 'TemplateStringsArray'.
1	__raw__ :: Argument of type 'string[]' is not assignable to parameter of type 'Iterable<PromptInputMode>'.
1	__raw__ :: Argument of type 'string[]' is not assignable to parameter of type 'readonly PromptInputMode[]'.
2	__raw__ :: Call signature return types '{ speed: any; output_config: BetaOutputConfig; context_management: ContextManagementConfig; temperature: number; metadata: { user_id: string; }; max_tokens: number; thinking: BetaThinkingConfigParam; ... 5 more ...; tool_choice: BetaToolChoiceAuto | BetaToolChoiceTool; }' and 'MessageCreateParamsBase' are incompatible.
4	__raw__ :: Index signature for type 'string' is missing in type '{}'.
6	__raw__ :: Index signature for type 'string' is missing in type 'BetaToolUseBlock'.
1	__raw__ :: Index signature for type 'string' is missing in type 'DebugLogger'.
8	__raw__ :: Index signature for type 'string' is missing in type 'TextBlockParam'.
2	__raw__ :: Index signature for type 'string' is missing in type 'ToolResultBlockParam'.
2	__raw__ :: Index signature for type 'string' is missing in type 'ToolUseBlock'.
1	__raw__ :: Object literal may only specify known properties, and 'env' does not exist in type 'readonly string[]'.
1	__raw__ :: Object literal may only specify known properties, and 'outputOffset' does not exist in type 'MonitorMcpTaskState'.
1	__raw__ :: Overload 1 of 2, '(iterable?: Iterable<PromptInputMode>): Set<PromptInputMode>', gave the following error.
1	__raw__ :: Overload 1 of 3, '(params: MessageCreateParamsNonStreaming, options?: RequestOptions): APIPromise<BetaMessage>', gave the following error.
